city_id,hh2016,hh2020,hh2030,hh2040,hh2050
1,2705,2735,2836,2939,3037
2,24886,26527,32059,37708,43071
3,45021,45724,48094,50515,52813
4,10135,11122,14449,17846,21072
5,22527,23240,25643,28097,30427
6,16769,17481,19881,22332,24658
7,45076,46704,52190,57792,63110
8,7300,8075,10690,13359,15894
9,329066,344980,398615,453388,505387
10,171,176,195,213,230
11,7066,7229,7779,8341,8875
12,40437,42967,51495,60204,68472
13,57534,60812,71860,83143,93855
14,36292,37619,42093,46662,50999
15,25500,27657,34926,42349,49396
16,6724,6874,7379,7895,8385
17,4963,5109,5603,6107,6586
18,11941,12429,14072,15750,17343
19,9717,10017,11028,12060,13040
20,35127,36503,41140,45875,50370
21,20582,21024,22516,24039,25485
22,15239,16133,19145,22222,25142
23,19339,20143,22852,25619,28245
24,101,114,160,206,251
25,7301,7719,9131,10573,11941
26,8704,9276,11204,13174,15043
27,2524,2653,3089,3535,3958
28,10854,11494,13649,15849,17939
29,59710,60461,62995,65582,68039
30,4600,5117,6856,8633,10319
31,999,1024,1110,1197,1280
32,3437,3520,3800,4086,4358
33,5162,5270,5632,6002,6354
34,984,1016,1124,1235,1340
35,1598,1796,2466,3150,3799
36,2,2,2,2,2
37,4617,4812,5471,6143,6781
38,3937,4032,4351,4677,4986
39,2312,2349,2475,2603,2725
40,9,11,18,25,32
41,968,980,1019,1059,1097
42,8376,8698,9786,10896,11950
43,4404,4596,5243,5903,6531
44,74,86,127,169,209
45,40,40,38,37,36
46,1310,1348,1475,1606,1730
47,397,401,416,432,446
48,156,157,161,165,169
49,45848,46552,48926,51350,53652
50,1139,1148,1178,1209,1238
51,109,110,115,119,124
52,91,92,99,106,112
53,13452,14098,16277,18503,20615
54,608,606,600,595,589
55,790,826,948,1072,1190
57,356,362,382,402,421
58,4,5,8,11,15
59,82851,88758,108668,129001,148304
60,121,122,127,132,137
61,295,303,331,359,386
62,23,24,28,33,37
63,38924,39272,40442,41637,42772
64,5444,5814,7062,8337,9547
65,15718,16617,19643,22735,25669
66,3936,4210,5132,6073,6967
67,5570,5853,6805,7777,8701
68,8440,8663,9417,10188,10919
69,9771,10033,10915,11816,12671
70,7316,7917,9943,12012,13976
71,4380,4453,4697,4947,5184
72,191,350,887,1435,1955
73,1009,1155,1648,2150,2628
74,2736,2789,2969,3152,3326
75,3885,3918,4029,4142,4250
76,3530,4131,6156,8224,10188
77,4438,4659,5407,6169,6894
78,310,322,364,407,447
79,24439,25894,30797,35804,40558
80,13402,14263,17163,20126,22938
81,2757,2863,3222,3588,3936
82,399,442,587,735,876
83,3941,4246,5272,6321,7316
84,1057,1102,1253,1407,1553
85,16293,17553,21800,26137,30254
86,2500,2616,3009,3409,3789
87,3996,4199,4881,5577,6239
88,4139,4570,6021,7503,8909
89,6953,7219,8117,9033,9903
90,164,175,212,250,287
91,224,230,251,273,293
92,1707,1836,2267,2708,3126
93,171,177,197,217,237
94,14491,15893,20619,25445,30027
95,44148,47386,58297,69441,80020
96,2295,2339,2489,2641,2786
97,619,634,686,739,789
98,17935,18567,20696,22871,24935
99,1015,1072,1267,1466,1654
100,8282,8466,9083,9713,10312
101,8756,9251,10917,12619,14235
102,11423,12469,15993,19593,23009
103,15480,16440,19677,22983,26121
104,1560,1727,2291,2868,3414
105,10484,11040,12914,14827,16644
106,23295,25558,33186,40976,48371
107,3403,3501,3834,4174,4497
108,5304,5533,6305,7093,7841
109,16422,16904,18530,20190,21766
110,5381,5540,6075,6621,7140
111,6818,7395,9340,11327,13213
112,3992,4170,4769,5381,5962
113,10965,11533,13446,15401,17256
114,1716,1826,2196,2575,2934
115,465,468,477,487,496
116,581,603,675,749,819
117,323,327,340,353,365
118,1450,1492,1633,1778,1915
119,8,8,10,12,14
120,8387,8531,9013,9505,9973
121,58,58,59,60,62
122,1818,1895,2155,2420,2672
123,2573,2778,3466,4170,4837
124,169,189,254,322,385
125,488,535,693,855,1008
126,469,504,621,741,855
127,5057,5172,5559,5955,6331
128,820,834,882,932,979
129,1261,1495,2286,3093,3860
130,52,90,219,350,474
131,78,80,87,94,100
132,61,61,61,61,61
133,61,89,182,277,368
134,0,0,0,0,0
135,23,53,154,256,353
136,5,160,682,1216,1722
137,36,52,106,161,213
138,3818,3978,4515,5064,5585
139,6716,7256,9076,10935,12700
141,2765,2793,2886,2981,3071
142,14,14,17,20,22
150,67,77,111,145,178
151,2608,2659,2831,3007,3174
152,2,3,4,5,6
153,93,131,260,390,515
154,47,47,49,52,54
155,92,94,103,112,120
156,14,14,14,14,15
157,212,211,209,206,204
158,2505,2546,2684,2825,2959
159,891,892,894,896,899
160,73,77,89,102,114
161,4,4,4,4,4
162,1305,1325,1390,1457,1520
163,5,7,13,19,24
164,1,2,4,7,10
165,570,593,672,752,828
166,23929,24253,25344,26458,27516
170,3181,3331,3834,4349,4837
171,4608,4801,5451,6115,6746
172,1463,1546,1827,2114,2386
173,18733,19326,21327,23370,25309
